try,3
darling,3
advice,3
red,3
million,3
disrespect,3
put,3
care,3
loud,3
hellish,3
owned,3
another,3
blank,3
future,3
flame,3
lover,3
bet,3
mine,3
chest,3
yeahh,3
puffing,3
saying,3
true,3
pretty,3
circle,3
his,3
nasty,3
ever,3
stupid,3
dumb,3
sea,3
between,3
wo,3
both,3
fault,3
odds,3
unclear,3
three,3
thousand,3
player,3
different,3
drink,3
cheer,3
touch,3
sweet,3
hover,3
knock,3
born,3
beating,3
tongue,3
burning,3
into,3
again,3
reckless,3
obsessed,3
month,4
mile,4
hold,4
hide,4
legend,4
wait,4
stream,4
club,4
figure,4
pulling,4
stop,4
better,4
cause,4
bass,4
free,4
reason,4
pretend,4
scent,4
little,4
breathless,4
i'ma,4
loving,4
than,4
bed,4
rent,4
aim,4
preying,4
reload,4
bad,4
were,4
last,4
dust,4
worked,4
many,4
hoping,4
pay,4
beast,4
well,4
slowly,4
money,4
save,4
game,4
world,4
hunt,4
people,4
star,4
knew,4
by,4
ago,4
head,4
stay,4
second,5
broken,5
history,5
singing,5
under,5
high,5
after,5
spot,5
kiss,5
drop,5
found,5
bone,5
our,5
space,5
feel,5
friend,5
who,5
talk,5
gold,5
find,5
ground,5
him,5
had,5
light,5
been,5
lived,5
as,5
everyday,5
hand,5
day,5
bit,5
swear,5
deny,5
eat,5
called,5
'd,5
young,6
fall,6
list,6
ex-lovers,6
sharpen,6
mm,6
getting,6
beautiful,6
crazy,6
them,6
girls,6
saw,6
though,6
deathless,6
dog,6
face,6
hit,6
stranger,6
enough,6
amen,6
ai,6
whoo,6
talking,6
same,6
death,6
thinking,6
hallelujah,6
knife,6
woah,6
wish,6
shrine,6
really,6
smell,6
hanging,7
awake,7
how,7
man,7
midnight,7
worship,7
before,7
pray,7
'bout,7
place,7
wash,7
most,7
forever,7
show,7
should,7
insane,7
around,7
see,7
arm,7
look,7
mistake,7
demon,7
sleeping,7
against,7
week,7
moment,7
gave,7
long,7
offer,7
happen,7
taste,7
wave,8
met,8
sexy,8
fuck,8
coming,8
might,8
girl,8
looking,8
drifting,8
done,8
tonight,8
hope,8
river,8
said,8
church,8
damn,8
these,8
strange,8
run,8
there,8
hear,8
until,8
leave,9
from,9
would,9
babe,9
sin,9
cold,9
name,9
god,9
alive,9
late,9
animals-mals,9
hero,10
animals,10
turn,10
inside,10
never,11
through,11
where,11
make,11
some,11
call,11
am,11
century,12
animal,12
jealous,12
've,12
about,12
ny,12
will,13
maybe,13
over,13
every,14
good,14
think,14
tree,14
have,14
need,14
off,14
right,14
pain,15
come,15
life,15
told,16
here,16
everybody,16
then,16
side,16
thing,16
away,16
night,16
her,16
way,16
hot,18
why,18
going,18
lyin,18
or,18
wan,18
go,19
remember,19
now,19
only,19
watch,19
they,19
yeah,20
out,20
gon,20
ghost,20
